NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,HD,HIPP,RA,DEC,RA_STRING,DEC_STRING,V,VURL,VREF,J,I,DEPTH,T14,TT,MASS,R,AR,B,RSTAR,MSTAR,STAR,TEFF,LOGG,FE,ETDNAME,ETDURL,SIMBADNAME,SIMBADURL,TRANSIT,TRANSITURL,TRANSITREF,OTHERNAME,KS,H
,mjupiter,au,day,,deg,jd,m/s,,,,,,,hr,deg,,,,,,,deg,,day,,mjupiter,rjupiter,,,rsun,msun,,k,,,,,,,,,,,,
HAT-P-6 b,1.05632,0.0523738,3.852985,0,90,2454035.67575,115.5,Noyes 2008,http://adsabs.harvard.edu/abs/2008ApJ...673L..79N,Noyes 2008,http://adsabs.harvard.edu/abs/2008ApJ...673L..79N,,,23.65161277784241,42.46597222222223,23:39:05.806,+42:27:57.5,10.44,,,9.558,85.51,0.00872,0.1461,2454035.67575,1.05957,1.33,7.69,0.602,1.46,1.29,HAT-P-6,6570,4.218,-0.13,HAT-P-6 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-6&PLANET=b,HAT-P-6,http://simbad.harvard.edu/simbad/sim-id?Ident=HAT-P-6,1,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2008,GSC 03239-00992,9.313,9.44
Kepler-35 b,0.127,0.48628,131.458,0.042,11.6336,2454920.3,,Welsh 2012,http://adsabs.harvard.edu/abs/2012Natur.481..475W,Welsh 2012,http://adsabs.harvard.edu/abs/2012Natur.481..475W,,,19.6331319448683,46.68976111094157,19:37:59.275,+46:41:23.14,,,,14.43,90.76,,,,0.127011,0.728,,,1.0284,0.8877,Kepler-35,,,,,,Kepler-35,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-35,1,http://adsabs.harvard.edu/abs/2012Natur.481..475W,Welsh 2012,KOI-2937,13.88,14.04
Qatar-1 b,1.08272,0.0234308,1.420033,0,90,2455518.4102,218,Alsubai 2011,http://adsabs.harvard.edu/abs/2011MNRAS.417..709A,Alsubai 2011,http://adsabs.harvard.edu/abs/2011MNRAS.417..709A,,,20.22544861104753,65.16207777765062,20:13:31.615,+65:09:43.48,12.843,,,10.999,83.47,0.02117,0.06716,2455518.4102,1.08979,1.164,6.12352,0.696,0.823,0.85,Qatar-1,4861,4.536,0.2,Qatar-1 b,http://var2.astro.cz/ETD/etd.php?STARNAME=Qatar-1&PLANET=b,Qatar-1,http://simbad.harvard.edu/simbad/sim-id?Ident=Qatar-1,1,http://adsabs.harvard.edu/abs/2011MNRAS.417..709A,Alsubai 2011,J20133160+6509433,10.409,10.527
Kepler-32 e,,0.0323795,2.896,,,2454966.61,,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,297.84240417,46.57427222,19:51:22.177,+46:34:27.3,,,,13.616,,0.000671,0.053,2454966.61,,0.133702,,,0.53,0.54,Kepler-32,3793,4.64,-0.01,,,Kepler-32,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-32,1,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Fabrycky 2012,KOI-952,12.757,12.901
Kepler-11 f,0.00723,0.249453,46.68876,0,90,2454964.6487,,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,,,19.80767277770572,41.90913055525886,19:48:27.622,+41:54:32.87,,,,12.548,89.4,0.000471324,0.2725,2454964.6487,0.0072304,0.232849,46.7922,0.49,1.1,0.95,Kepler-11,5680,4.3,0,Kepler-11 f,http://var2.astro.cz/ETD/etd.php?STARNAME=Kepler-11&PLANET=f,GSC 03144-00002,http://simbad.harvard.edu/simbad/sim-id?Ident=GSC+03144-00002,1,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,KOI-157,12.18,12.237
Kepler-12 b,0.431855,0.0556348,4.4379637,0,182,2455000.68,48.2,Fortney 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....9F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.08289638837179,50.04034722222222,19:04:58.427,+50:02:25.25,13.8,,,12.406,88.76,0.013765,0.19573,2455004.00835,0.431956,1.695,8.06373,0.174,1.483,1.166,Kepler-12,5947,4.175,0.07,Kepler-12 b,http://var2.astro.cz/ETD/etd.php?STARNAME=Kepler-12&PLANET=b,Kepler-12,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-12,1,http://adsabs.harvard.edu/abs/2011ApJS..197....9F,Fortney 2011,KOI-20,12.066,12.11
HAT-P-36 b,1.83475,0.0238229,1.327347,0.063,95,2455565.198,334.7,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,,,12.5511000000106,44.91536111089918,12:33:03.96,+44:54:55.3,12.262,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,11.046,86,0.014066,0.0923,2455565.18144,1.83923,1.264,4.66,0.312,1.096,1.022,HAT-P-36,5560,4.37,0.26,HAT-P-36 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-36&PLANET=b,HAT-P-36,http://simbad.harvard.edu/simbad/sim-id?Ident=HAT-P-36,1,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,2MASS J12330390+4454552,10.603,10.723
WASP-35 b,0.716644,0.0431283,3.161575,0,90,2455531.47907,94.82,Enoch 2011,http://adsabs.harvard.edu/abs/2011AJ....142...86E,Enoch 2011,http://adsabs.harvard.edu/abs/2011AJ....142...86E,,,5.072118333180745,-6.229805555343628,05:04:19.626,-06:13:47.3,10.95,http://adsabs.harvard.edu/abs/2011AJ....142...86E,Enoch 2011,9.887,87.96,0.0154,0.1278,2455531.47907,0.717098,1.32,8.53,0.3,1.09,1.07,WASP-35,5990,4.4,-0.15,WASP-35 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-35&PLANET=b,WASP-35,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-35,1,http://adsabs.harvard.edu/abs/2011AJ....142...86E,Enoch 2011,2MASS J05041962-0613473,9.525,9.598
WTS-1 b,,0.0465809,3.352059,0.05,,2454318.7472,,Cappetta 2012,http://adsabs.harvard.edu/abs/2012MNRAS.427.1877C,Cappetta 2012,http://adsabs.harvard.edu/abs/2012MNRAS.427.1877C,,,19.59954722192552,36.29032500002119,19:35:58.37,+36:17:25.17,16.13,,,,85.5,,,2454318.7472,,1.49,,0.69,1.15,1.2,WTS-1,6250,4.4,-0.5,,,,,1,http://adsabs.harvard.edu/abs/2012MNRAS.427.1877C,Cappetta 2012,,,
Kepler-51 b,,0.248169,45.1555023,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.7653194448683,49.9375,19:45:55.15,+49:56:15.0,,,,,,,0.240792,2454992.10435,,0.628398,,0.0304,0.91,1,Kepler-51,5803,4.52,,,,,,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,KOI-620,,
